date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:01:13	279512/279512	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202023%2002:17:48%20GMT	https://cryptex.to/	C:/My%20Web%20Sites/index/cryptex.to/index.html	(from )
03:01:14	96730/96730	---MC-	404	error ('Not%20Found')	text/html	date:Thu,%2019%20Oct%202023%2002:17:47%20GMT	https://cryptex.to/robots.txt		(from )
03:01:16	6024/6024	---M--	200	added ('OK')	text/html	etag:%221788-5caaf01bdc7a7%22	https://cryptex.to/views/5261539cab/assets/vendors/liquid-icon/lqd-essentials/fonts/lqd-essentials.woff2	C:/My%20Web%20Sites/index/cryptex.to/views/5261539cab/assets/vendors/liquid-icon/lqd-essentials/fonts/lqd-essentials.html	(from https://cryptex.to/)
03:01:16	0/0	---M--	301	error ('Moved%20Permanently')	application/rss+xml	etag:%228a3dda65af3820752ba954910782ca30%22	https://cryptex.to/index.php/feed/	C:/My%20Web%20Sites/index/cryptex.to/index.php/feed/index.html	(from https://cryptex.to/)
03:01:18	83369/83369	---M-Z	200	added ('OK')	text/css	etag:%22145a9-5db6c17bf7b10-gzip%22	https://cryptex.to/lib/css/dist/block-library/style.min.css	C:/My%20Web%20Sites/index/cryptex.to/lib/css/dist/block-library/style.min.css	(from https://cryptex.to/)
03:01:19	2731/2731	---M-Z	200	added ('OK')	text/css	etag:%22aab-5db8a53a68fd9-gzip%22	https://cryptex.to/modules/8516d2654f/includes/css/styles.css	C:/My%20Web%20Sites/index/cryptex.to/modules/8516d2654f/includes/css/styles.css	(from https://cryptex.to/)
03:01:19	0/0	---M--	301	error ('Moved%20Permanently')	application/rss+xml	etag:%2292d80f2b81f9fef5080901c47240ba5c%22	https://cryptex.to/index.php/comments/feed/	C:/My%20Web%20Sites/index/cryptex.to/index.php/comments/feed/index.html	(from https://cryptex.to/)
03:01:19	61344/61344	---M-Z	200	added ('OK')	text/css	etag:%22efa0-5c4f361119595-gzip%22	https://cryptex.to/modules/4b36101dcc/public/assets/css/rs6.css	C:/My%20Web%20Sites/index/cryptex.to/modules/4b36101dcc/public/assets/css/rs6.css	(from https://cryptex.to/)
03:01:20	31004/31004	---M-Z	200	added ('OK')	text/css	etag:%22791c-5caaf01be15c7-gzip%22	https://cryptex.to/views/5261539cab/assets/vendors/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/index/cryptex.to/views/5261539cab/assets/vendors/font-awesome/css/font-awesome.min.css	(from https://cryptex.to/)
03:01:21	56791/56791	---M-Z	200	added ('OK')	text/css	etag:%22ddd7-5caaf01bde6e7-gzip%22	https://cryptex.to/views/5261539cab/assets/vendors/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/index/cryptex.to/views/5261539cab/assets/vendors/bootstrap/css/bootstrap.min.css	(from https://cryptex.to/)
03:01:22	3876/3876	---M-Z	200	added ('OK')	text/css	etag:%22f24-5caaf01bd7987-gzip%22	https://cryptex.to/views/5261539cab/design.css	C:/My%20Web%20Sites/index/cryptex.to/views/5261539cab/design.css	(from https://cryptex.to/)
03:01:23	38913/38913	---M-Z	200	added ('OK')	text/css	etag:%229801-5caaf01be5447-gzip%22	https://cryptex.to/views/5261539cab/assets/css/theme-responsive-min.min.css	C:/My%20Web%20Sites/index/cryptex.to/views/5261539cab/assets/css/theme-responsive-min.min.css	(from https://cryptex.to/)
03:01:23	560956/560956	---MCZ	200	added ('OK')	text/css	etag:%2288f3c-5caaf01be5447-gzip%22	https://cryptex.to/views/5261539cab/assets/css/theme.min.css	C:/My%20Web%20Sites/index/cryptex.to/views/5261539cab/assets/css/theme.min.css	(from https://cryptex.to/)
03:01:24	2394/2394	---M-Z	200	added ('OK')	text/css	etag:%2295a-5caaf01be5447-gzip%22	https://cryptex.to/views/5261539cab/assets/css/theme-responsive-max.min.css	C:/My%20Web%20Sites/index/cryptex.to/views/5261539cab/assets/css/theme-responsive-max.min.css	(from https://cryptex.to/)
03:01:25	411412/411412	---M-Z	200	added ('OK')	text/css	etag:%2264714-5c4f3609291f5-gzip%22	https://cryptex.to/modules/910a07777b/assets/css/js_composer.min.css	C:/My%20Web%20Sites/index/cryptex.to/modules/910a07777b/assets/css/js_composer.min.css	(from https://cryptex.to/)
03:01:26	937/937	---M-Z	200	added ('OK')	text/css	etag:%223a9-5c4f360c5f635-gzip%22	https://cryptex.to/modules/7d86a1a8e2/assets/css/liquid-gdpr.min.css	C:/My%20Web%20Sites/index/cryptex.to/modules/7d86a1a8e2/assets/css/liquid-gdpr.min.css	(from https://cryptex.to/)
03:01:26	738/738	---M-Z	200	added ('OK')	text/css	etag:%222e2-5c4f35f7cfb75-gzip%22	https://cryptex.to/modules/d74c3de78d/assets/css/landinghub-core.min.css	C:/My%20Web%20Sites/index/cryptex.to/modules/d74c3de78d/assets/css/landinghub-core.min.css	(from https://cryptex.to/)
03:01:27	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Oct%202023%2002:18:03%20GMT	http://cryptex.to/storage/liquid-styles/liquid-responsive-100.css?timestamp=1630227777	C:/My%20Web%20Sites/index/cryptex.to/storage/liquid-styles/liquid-responsive-100.dd545.delayed	(from https://cryptex.to/)
03:01:28	210/210	---M-Z	200	added ('OK')	text/css	etag:%22d2-5caaefb8fdee8-gzip%22	https://cryptex.to/storage/liquid-styles/liquid-responsive-100.css?timestamp=1630227777	C:/My%20Web%20Sites/index/cryptex.to/storage/liquid-styles/liquid-responsive-100d545.css	(from https://cryptex.to/)
03:01:29	89521/89521	---M-Z	200	added ('OK')	application/javascript	etag:%2215db1-5caaef390d009-gzip%22	https://cryptex.to/lib/js/jquery/jquery.min.js	C:/My%20Web%20Sites/index/cryptex.to/lib/js/jquery/jquery.min.js	(from https://cryptex.to/)
03:01:29	11224/11224	---M-Z	200	added ('OK')	application/javascript	etag:%222bd8-5b45debe27b80-gzip%22	https://cryptex.to/lib/js/jquery/jquery-migrate.min.js	C:/My%20Web%20Sites/index/cryptex.to/lib/js/jquery/jquery-migrate.min.js	(from https://cryptex.to/)
03:01:31	123959/123959	---M-Z	200	added ('OK')	application/javascript	etag:%221e437-5c4f3610c3695-gzip%22	https://cryptex.to/modules/4b36101dcc/public/assets/js/rbtools.min.js	C:/My%20Web%20Sites/index/cryptex.to/modules/4b36101dcc/public/assets/js/rbtools.min.js	(from https://cryptex.to/)
03:01:32	46/46	---M--	200	added ('OK')	application/javascript	etag:%222e-5c4f35f7faaf5%22	https://cryptex.to/modules/d74c3de78d/extensions/redux-typekit/liquid-typekit.js	C:/My%20Web%20Sites/index/cryptex.to/modules/d74c3de78d/extensions/redux-typekit/liquid-typekit.js	(from https://cryptex.to/)
03:01:32	363983/363983	---MCZ	200	added ('OK')	application/javascript	etag:%2258dcf-5c4f3610c3695-gzip%22	https://cryptex.to/modules/4b36101dcc/public/assets/js/rs6.min.js	C:/My%20Web%20Sites/index/cryptex.to/modules/4b36101dcc/public/assets/js/rs6.min.js	(from https://cryptex.to/)
03:01:32	2338/2338	---MC-	200	added ('OK')	application/json	date:Thu,%2019%20Oct%202023%2002:18:08%20GMT	https://cryptex.to/index.php/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcryptex.to%2Findex.php%2F	C:/My%20Web%20Sites/index/cryptex.to/index.php/wp-json/oembed/1.0/embedd806.json	(from https://cryptex.to/)
03:01:33	2406/2406	---M-Z	200	added ('OK')	text/xml	date:Thu,%2019%20Oct%202023%2002:18:09%20GMT	https://cryptex.to/index.php/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcryptex.to%2Findex.php%2F&format=xml	C:/My%20Web%20Sites/index/cryptex.to/index.php/wp-json/oembed/1.0/embed1306	(from https://cryptex.to/)
03:01:33	1653/1653	---M--	200	added ('OK')	image/png	etag:%22675-5c4f9ce925c41%22	https://cryptex.to/storage/2021/06/favicon-16x16-1.png	C:/My%20Web%20Sites/index/cryptex.to/storage/2021/06/favicon-16x16-1.png	(from https://cryptex.to/)
03:01:34	6753/6753	---M--	200	added ('OK')	image/png	etag:%221a61-5c4f9cdf67a01%22	https://cryptex.to/storage/2021/06/apple-icon-57x57-1.png	C:/My%20Web%20Sites/index/cryptex.to/storage/2021/06/apple-icon-57x57-1.png	(from https://cryptex.to/)
03:01:35	18463/18463	---M--	200	added ('OK')	image/png	etag:%22481f-5c4f9ce0b0ba1%22	https://cryptex.to/storage/2021/06/apple-icon-114x114-1.png	C:/My%20Web%20Sites/index/cryptex.to/storage/2021/06/apple-icon-114x114-1.png	(from https://cryptex.to/)
03:01:36	9148/9148	---M--	200	added ('OK')	image/png	etag:%2223bc-5c4f9ce007c81%22	https://cryptex.to/storage/2021/06/apple-icon-72x72-1.png	C:/My%20Web%20Sites/index/cryptex.to/storage/2021/06/apple-icon-72x72-1.png	(from https://cryptex.to/)
03:01:36	279512/279512	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202023%2002:18:11%20GMT	https://cryptex.to/index.php/	C:/My%20Web%20Sites/index/cryptex.to/./index.html	(from https://cryptex.to/)
03:01:37	952/952	---M--	200	added ('OK')	image/svg+xml	etag:%223b8-5c4f36a8f16b3%22	https://cryptex.to/storage/2020/11/bg-circles.svg?id=120	C:/My%20Web%20Sites/index/cryptex.to/storage/2020/11/bg-circles97d4.svg	(from https://cryptex.to/)
03:01:37	2858/2858	---M--	200	added ('OK')	image/png	etag:%22b2a-5c4f9ce5b7d61%22	https://cryptex.to/storage/2021/06/cryptex-logo.png	C:/My%20Web%20Sites/index/cryptex.to/storage/2021/06/cryptex-logo.png	(from https://cryptex.to/)
03:01:38	954/954	---M--	200	added ('OK')	image/svg+xml	etag:%223ba-5c4f36a34f093%22	https://cryptex.to/storage/2020/10/Group-28148.svg	C:/My%20Web%20Sites/index/cryptex.to/storage/2020/10/Group-28148.svg	(from https://cryptex.to/)
03:01:39	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Oct%202023%2002:18:14%20GMT	https://cryptex.to/index.php/discover/	C:/My%20Web%20Sites/index/cryptex.to/index.php/discover/index.html	(from https://cryptex.to/)
03:01:39	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Oct%202023%2002:18:15%20GMT	https://cryptex.to/index.php/why-cryptex/	C:/My%20Web%20Sites/index/cryptex.to/index.php/why-cryptex/index.html	(from https://cryptex.to/)
03:01:39	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2019%20Oct%202023%2002:18:15%20GMT	https://cryptex.to/index.php/1st-of-its-kind/	C:/My%20Web%20Sites/index/cryptex.to/index.php/1st-of-its-kind/index.html	(from https://cryptex.to/)
